mapping_id,reviewer_decision,reviewer_note,reviewed_by,reviewed_at
errskill__0ccefa329548d3ee,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__0d02935593f6c52f,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__0d22f405c710e6a5,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__0d376f99982b1449,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__0d7682314622f4d5,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__0d92840cd7fd1892,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__0d97ce93a7687377,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__0d9efde01f4a54bd,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__0daf01a9fb411cea,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__0dd615ba19097f18,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__0e0f69462d15fe2a,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__0e30a2bc4011bd05,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__0eb81f3761521ecd,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__0f1683f80fce09c0,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__0f8d30a07c484fbc,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__101e693f2f06d2be,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__1085918be2e4dd2a,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__1098ae94778c4384,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__11245c8704f37666,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__122446245a28e249,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__1279d1cbc8c294cc,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__12e91b0f2c48f096,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__1390e803c417f037,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__13abc64b6b4e35db,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__14d8797159f647ef,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__14e1ab77b8b81686,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__14f25b20851bf3c8,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__152041ac80a8f4c5,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__154b21f64b3b0407,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__158da6c1413e4370,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__1596b691a9684f5c,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__16170327882dfd85,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__16f0a42d20db510c,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__179de2f27e9b3e0a,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__17e817a6b55d2ad7,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__18d73cb9a9bdbcb9,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__19262e7e1446a9cf,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__193979cedcf2b3e8,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__19415bc5e291000a,NEEDS_REVIEW,"AGV is confirmed, but the correction does not deterministically identify the canonical third-person -s morphology.",,
errskill__1a2d4b740f938f97,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__1a969260a5cdfc48,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__1aa46750a30d8536,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__1b0b8c052fa32eb6,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__1b73fb4dbacdb2b3,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__1b9f3196b4e3af8c,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__1bb08192d9108426,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__1bedddf4fe0bf3b9,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__1c2460f9e3750aad,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__1c5490f9c905c488,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__1c7e4a62338d5b71,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__1d016ad8601c4107,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__1d29e0826f97523d,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__1d71b0ff9bc3559e,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__1df0b2af3336005a,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__1df5065f27b92825,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__1f02dbfc56bd5cbf,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__1f349118362aae13,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__1f3bb182c288148d,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__1f684647e4a917cf,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__2000481ce60d7047,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__20141e59956bacf5,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__211ddf1e565bf611,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__2165d11e4fbb7c19,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__216dd3abde031c99,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__21921f856c3966a6,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__21c1f554e02b3e67,NEEDS_REVIEW,"AGV is confirmed, but the correction does not deterministically identify the canonical third-person -s morphology.",,
errskill__21ca5df7fefc396c,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__2212118805c8dcc3,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__2225dbd505586abe,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__227eedac5bbd6a0a,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__2355a0b509739ea0,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__2490d67824935cae,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__2494448bf711ba25,NEEDS_REVIEW,"AGV is confirmed, but the correction does not deterministically identify the canonical third-person -s morphology.",,
errskill__24c30dfed8f3316f,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__24c97d0a42e188b6,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__24f52a969c578966,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__2564e186e6df6fda,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__25870f429084a02f,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__25b61dd9ca8466b7,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__25ce6e8738fa1c55,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__2641ad5263778c44,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__26c7b7b3113b9687,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__26cf7e07598b9c43,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__273f59c3428c8cac,NEEDS_REVIEW,"AGV is confirmed, but the correction does not deterministically identify the canonical third-person -s morphology.",,
errskill__27573a02eaedbee0,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__278708aa2bf37532,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__27b758456a627e0b,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__284cec284b4b4cba,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__2859c467740d86f6,NEEDS_REVIEW,"AGV is confirmed, but the correction does not deterministically identify the canonical third-person -s morphology.",,
errskill__28635432b650549a,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__287a455298c2018b,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__28b29e1a87c6dbfe,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__290ef8e01cb9de4a,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__293efe0f0c3f7b09,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__294336697285887d,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__298150a25d9b904d,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__29966b27fad75d08,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__29f3f8f6192d4a26,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__2a4df801a5d89a0e,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__2ab2a7b2c8341aa8,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__2ab49d87fea5b136,NEEDS_REVIEW,"AGV is confirmed, but the correction does not deterministically identify the canonical third-person -s morphology.",,
errskill__2afc6ce71a0ed7f1,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__2b6e9be0d2af9c03,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__2ba2f4401d5c09c5,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
